0	0	9
1	0	7
2	0	0
3	0	3
4	0	4
5	0	6
6	0	8
7	0	3
8	0	4
9	0	8
0	1	6
1	1	2
2	1	1
3	1	4
4	1	2
5	1	1
6	1	3
7	1	2
8	1	4
9	1	4
0	2	8
1	2	0
2	2	2
3	2	1
4	2	2
5	2	4
6	2	4
7	2	2
8	2	0
9	2	5
0	3	4
1	3	2
2	3	6
3	3	5
4	3	1
5	3	7
6	3	3
7	3	0
8	3	1
9	3	6
0	4	2
1	4	2
2	4	3
3	4	4
4	4	0
5	4	4
6	4	3
7	4	1
8	4	6
9	4	3
0	5	2
1	5	4
2	5	7
3	5	8
4	5	8
5	5	4
6	5	3
7	5	7
8	5	1
9	5	7
0	6	1
1	6	9
2	6	5
3	6	7
4	6	0
5	6	8
6	6	8
7	6	3
8	6	1
9	6	5
0	7	5
1	7	7
2	7	0
3	7	5
4	7	4
5	7	3
6	7	8
7	7	9
8	7	8
9	7	6
0	8	3
1	8	9
2	8	4
3	8	8
4	8	9
5	8	7
6	8	0
7	8	1
8	8	8
9	8	8
0	9	3
1	9	2
2	9	6
3	9	1
4	9	1
5	9	6
6	9	3
7	9	8
8	9	1
9	9	5
0	10	0
1	10	6
2	10	0
3	10	7
4	10	7
5	10	9
6	10	6
7	10	7
8	10	3
9	10	0
0	11	4
1	11	0
2	11	7
3	11	3
4	11	6
5	11	1
6	11	7
7	11	9
8	11	7
9	11	4
0	12	6
1	12	1
2	12	1
3	12	7
4	12	6
5	12	1
6	12	6
7	12	9
8	12	6
9	12	3
0	13	6
1	13	2
2	13	9
3	13	9
4	13	5
5	13	0
6	13	3
7	13	6
8	13	7
9	13	9
0	14	9
1	14	8
2	14	3
3	14	1
4	14	1
5	14	4
6	14	0
7	14	7
8	14	9
9	14	2
0	15	4
1	15	0
2	15	5
3	15	8
4	15	3
5	15	6
6	15	7
7	15	7
8	15	5
9	15	7
0	16	4
1	16	3
2	16	0
3	16	7
4	16	0
5	16	6
6	16	3
7	16	9
8	16	1
9	16	7
0	17	4
1	17	8
2	17	3
3	17	9
4	17	0
5	17	8
6	17	2
7	17	8
8	17	5
9	17	9
0	18	7
1	18	1
2	18	8
3	18	6
4	18	7
5	18	6
6	18	5
7	18	3
8	18	2
9	18	1
0	19	6
1	19	2
2	19	6
3	19	9
4	19	1
5	19	6
6	19	3
7	19	1
8	19	6
9	19	6
