@relation train_auto_PartB_full

@attribute normalized-losses numeric
@attribute make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute fuel-type {diesel,gas}
@attribute aspiration {std,turbo}
@attribute num-of-doors {2,4}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute drive-wheels {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute num-of-cylinders {3,4,5,6,8}
@attribute engine-size numeric
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute engine-power numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute symboling {-3,-2,-1,0,1,2,3}
@attribute mean-effective-pressure numeric
@attribute torque numeric
@attribute price numeric

@data
164,audi,gas,std,4,sedan,fwd,front,99.8,176.6,66.2,54.3,ohc,4,8.85,mpfi,3.19,3.4,10,102000,5500,24,30,2,40.52,57.68,13950
110,audi,gas,std,4,sedan,4wd,front,99.4,162.4,66.4,54.3,ohc,5,15.18,mpfi,3.19,3.4,8,115000,5500,18,22,2,47.39,59.59,17450
158,audi,gas,std,4,sedan,fwd,front,105.8,192.7,71.4,51.6,ohc,5,15.18,mpfi,3.94,2.8,8.5,70000,4400,28,30,1,0.85,3344.79,17710
106,audi,gas,turbo,4,sedan,fwd,front,86.6,158.7,67.7,55.9,ohc,5,13.74,mpfi,3.13,3.5,7.8,140000,5600,32,20,1,44.74,68.97,23875
192,bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,4,8.67,mpfi,3.5,2.8,8.8,101000,5800,23,29,2,44.78,53.48,16430
194,bmw,gas,std,4,sedan,rwd,front,110,190.9,71.4,58.7,ohc,4,8.67,mpfi,3.78,3.9,22.5,101000,6000,47,53,0,1.8,1330.28,16925
188,bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,6,26.58,mpfi,3.31,3.19,9,121000,4250,21,28,0,7.19,377.06,20970
150,bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,56.1,ohc,6,26.58,mpfi,3.03,3.19,8,134000,4400,28,37,0,57.37,48.2,21105
121,chevrolet,gas,std,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,l,3,3.39,2bbl,3.03,3.03,9.5,48000,5300,47,53,2,59.33,25.08,5151
98,chevrolet,gas,std,2,hatchback,fwd,front,104.3,155.9,68.3,52,ohc,4,6.05,2bbl,3.31,3.47,7.8,70000,5000,34,34,1,51.55,36.35,6295
