0	0	9
0	1	6
0	2	8
0	3	4
0	4	2
0	5	2
0	6	1
0	7	5
0	8	3
0	9	3
0	10	0
0	11	4
0	12	6
0	13	6
0	14	9
0	15	4
0	16	4
0	17	4
0	18	7
0	19	6
1	0	7
1	1	2
1	2	0
1	3	2
1	4	2
1	5	4
1	6	9
1	7	7
1	8	9
1	9	2
1	10	6
1	11	0
1	12	1
1	13	2
1	14	8
1	15	0
1	16	3
1	17	8
1	18	1
1	19	2
2	0	0
2	1	1
2	2	2
2	3	6
2	4	3
2	5	7
2	6	5
2	7	0
2	8	4
2	9	6
2	10	0
2	11	7
2	12	1
2	13	9
2	14	3
2	15	5
2	16	0
2	17	3
2	18	8
2	19	6
3	0	3
3	1	4
3	2	1
3	3	5
3	4	4
3	5	8
3	6	7
3	7	5
3	8	8
3	9	1
3	10	7
3	11	3
3	12	7
3	13	9
3	14	1
3	15	8
3	16	7
3	17	9
3	18	6
3	19	9
4	0	4
4	1	2
4	2	2
4	3	1
4	4	0
4	5	8
4	6	0
4	7	4
4	8	9
4	9	1
4	10	7
4	11	6
4	12	6
4	13	5
4	14	1
4	15	3
4	16	0
4	17	0
4	18	7
4	19	1
5	0	6
5	1	1
5	2	4
5	3	7
5	4	4
5	5	4
5	6	8
5	7	3
5	8	7
5	9	6
5	10	9
5	11	1
5	12	1
5	13	0
5	14	4
5	15	6
5	16	6
5	17	8
5	18	6
5	19	6
6	0	8
6	1	3
6	2	4
6	3	3
6	4	3
6	5	3
6	6	8
6	7	8
6	8	0
6	9	3
6	10	6
6	11	7
6	12	6
6	13	3
6	14	0
6	15	7
6	16	3
6	17	2
6	18	5
6	19	3
7	0	3
7	1	2
7	2	2
7	3	0
7	4	1
7	5	7
7	6	3
7	7	9
7	8	1
7	9	8
7	10	7
7	11	9
7	12	9
7	13	6
7	14	7
7	15	7
7	16	9
7	17	8
7	18	3
7	19	1
8	0	4
8	1	4
8	2	0
8	3	1
8	4	6
8	5	1
8	6	1
8	7	8
8	8	8
8	9	1
8	10	3
8	11	7
8	12	6
8	13	7
8	14	9
8	15	5
8	16	1
8	17	5
8	18	2
8	19	6
9	0	8
9	1	4
9	2	5
9	3	6
9	4	3
9	5	7
9	6	5
9	7	6
9	8	8
9	9	5
9	10	0
9	11	4
9	12	3
9	13	9
9	14	2
9	15	7
9	16	7
9	17	9
9	18	1
9	19	6
